"","Title","Author","Subject","Abstract","Meta"
"11","(Towards a) Statistical Probabilistic Lazy Lambda Calculus","Radha Jagadeesan","Logic in Computer Science (cs.LO)","We study the desiderata on a model for statistical probabilistic programming languages. We argue that they can be met by a combination of traditional tools, namely open bisimulation and probabilistic simulation.","Fri, 22 Mar 2024 18:51:53 UTC (71 KB)"
"12","Programmers Prefer Individually Assigned Tasks vs. Shared Responsibility","Adela Krylova, Roman Makarov, Sergei Pasynkov, Yegor Bugayenko","Software Engineering (cs.SE)","In traditional management, tasks are typically assigned to individuals, with each worker taking full responsibility for the success or failure of a task. In contrast, modern Agile, Lean, and eXtreme Programming practices advocate for shared responsibility, where an entire group is accountable for the outcome of a project or task. Despite numerous studies in other domains, the preferences of programmers have not been thoroughly analyzed. To address this gap, we conducted a survey featuring seven situational questions and collected the opinions of 120 software development practitioners. Our findings reveal that programmers prefer tasks to be assigned to them on an individual basis and appreciate taking personal responsibility for failures, as well as receiving individual rewards for successes. Understanding these preferences is crucial for project managers aiming to optimize team dynamics and ensure the successful completion of software projects.","Fri, 22 Mar 2024 08:10:15 UTC (28 KB)"
"13","Real-time Safety Index Adaptation for Parameter-varying Systems via Determinant Gradient Ascend","Rui Chen, Weiye Zhao, Ruixuan Liu, Weiyang Zhang, Changliu Liu","Systems and Control (eess.SY)","Safety Index Synthesis (SIS) is critical for deriving safe control laws. Recent works propose to synthesize a safety index (SI) via nonlinear programming and derive a safe control law such that the system 1) achieves forward invariant (FI) with some safe set and 2) guarantees finite time convergence (FTC) to that safe set. However, real-world system dynamics can vary during run-time, making the control law infeasible and invalidating the initial SI. Since the full SIS nonlinear programming is computationally expensive, it is infeasible to re-synthesize the SI each time the dynamics are perturbed. To address that, this paper proposes an efficient approach to adapting the SI to varying system dynamics and maintaining the feasibility of the safe control law. The proposed method leverages determinant gradient ascend and derives a closed-form update to safety index parameters, enabling real-time adaptation performance. A numerical study validates the effectiveness of our approach.","Fri, 22 Mar 2024 05:49:52 UTC (655 KB)"
"14","Fat API bindings of C++ objects into scripting languages","Russell K. Standish","Programming Languages (cs.PL)","A fat API exposes nearly all of a C++ object's public attributes and methods to a consuming environment, such as a scripting language, or web client. This can be contrasted with a conventional, or thin API, where the API is defined up front, and the C++ object provides the implementation, most of which is private to the C++ layer. Obviously, reflection is required to expose C++ objects to a consuming layer like this -- this paper explores using the Classdesc system to implement reflection of C++ objects into a JavaScript/TypeScript environment via a RESTservice, and also via a Node.js API module.","Fri, 22 Mar 2024 04:16:42 UTC (65 KB)"
"15","A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond","Qiushi Sun, Zhirui Chen, Fangzhi Xu, Kanzhi Cheng, Chang Ma, Zhangyue Yin, Jianing Wang, Chengcheng Han, Renyu Zhu, Shuai Yuan, Qipeng Guo, Xipeng Qiu, Pengcheng Yin, Xiaoli Li, Fei Yuan, Lingpeng Kong, Xiang Li, Zhiyong Wu","Software Engineering (cs.SE)","Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Natural Language and Programming Language, this domain has drawn significant attention from researchers in both research communities over the past few years. This survey presents a systematic and chronological review of the advancements in code intelligence, encompassing over 50 representative models and their variants, more than 20 categories of tasks, and an extensive coverage of over 680 related works. We follow the historical progression to trace the paradigm shifts across different research phases (e.g., from modeling code with recurrent neural networks to the era of Large Language Models). Concurrently, we highlight the major technical transitions in models, tasks, and evaluations spanning through different stages. For applications, we also observe a co-evolving shift. It spans from initial endeavors to tackling specific scenarios, through exploring a diverse array of tasks during its rapid expansion, to currently focusing on tackling increasingly complex and varied real-world challenges. Building on our examination of the developmental trajectories, we further investigate the emerging synergies between code intelligence and broader machine intelligence, uncovering new cross-domain opportunities and illustrating the substantial influence of code intelligence across various domains. Finally, we delve into both the opportunities and challenges associated with this field, alongside elucidating our insights on the most promising research directions. An ongoing, dynamically updated project and resources associated with this survey have been released at this https URL.","Thu, 21 Mar 2024 08:54:56 UTC (2,212 KB)"
"16","Personalized Programming Guidance based on Deep Programming Learning Style Capturing","Yingfan Liu, Renyu Zhu, Ming Gao","Computers and Society (cs.CY)","With the rapid development of big data and AI technology, programming is in high demand and has become an essential skill for students. Meanwhile, researchers also focus on boosting the online judging system's guidance ability to reduce students' dropout rates. Previous studies mainly targeted at enhancing learner engagement on online platforms by providing personalized recommendations. However, two significant challenges still need to be addressed in programming: C1) how to recognize complex programming behaviors; C2) how to capture intrinsic learning patterns that align with the actual learning process. To fill these gaps, in this paper, we propose a novel model called Programming Exercise Recommender with Learning Style (PERS), which simulates learners' intricate programming behaviors. Specifically, since programming is an iterative and trial-and-error process, we first introduce a positional encoding and a differentiating module to capture the changes of consecutive code submissions (which addresses C1). To better profile programming behaviors, we extend the Felder-Silverman learning style model, a classical pedagogical theory, to perceive intrinsic programming patterns. Based on this, we align three latent vectors to record and update programming ability, processing style, and understanding style, respectively (which addresses C2). We perform extensive experiments on two real-world datasets to verify the rationality of modeling programming learning styles and the effectiveness of PERS for personalized programming guidance.","Tue, 20 Feb 2024 10:38:38 UTC (1,063 KB)"
"17","Designing Robust Linear Output Feedback Controller based on CLF-CBF framework via Linear~Programming(LP-CLF-CBF)","Mahroo Bahreinian, Mehdi Kermanshah, Roberto Tron","Systems and Control (eess.SY)","We consider the problem of designing output feedback controllers that use measurements from a set of landmarks to navigate through a cell-decomposable environment using duality, Control Lyapunov and Barrier Functions (CLF, CBF), and Linear Programming. We propose two objectives for navigating in an environment, one to traverse the environment by making loops and one by converging to a stabilization point while smoothing the transition between consecutive cells. We test our algorithms in a simulation environment, evaluating the robustness of the approach to practical conditions, such as bearing-only measurements, and measurements acquired with a camera with a limited field of view.","Thu, 21 Mar 2024 16:17:39 UTC (4,486 KB)"
"18","Early Planet Formation in Embedded Disks (eDisk) XIII: Aligned Disks with Non-Settled Dust Around the Newly Resolved Class 0 Protobinary R CrA IRAS 32","Frankie J. Encalada, Leslie W. Looney, Shigehisa Takakuwa, John J. Tobin, Nagayoshi Ohashi, Jes K. Jørgensen, Zhi-Yun Li, Yuri Aikawa, Yusuke Aso, Patrick M. Koch, Woojin Kwon, Shih-Ping Lai, Chang Won Lee, Zhe-Yu Daniel Lin, Alejandro Santamarıa-Miranda, Itziar de Gregorio-Monsalvo, Nguyen Thi Phuong, Adele Plunkett, Jinshi Sai (Insa Choi), Rajeeb Sharma, Hsi-Wei Yen, Ilseung Han","Solar and Stellar Astrophysics (astro-ph.SR)","Young protostellar binary systems, with expected ages less than $\sim$10$^5$ years, are little modified since birth, providing key clues to binary formation and evolution. We present a first look at the young, Class 0 binary protostellar system R CrA IRAS 32 from the Early Planet Formation in Embedded Disks (eDisk) ALMA large program, which observed the system in the 1.3 mm continuum emission, $^{12}$CO (2-1), $^{13}$CO (2-1), C$^{18}$O (2-1), SO (6$_5$-5$_4$), and nine other molecular lines that trace disk, envelope, shocks, and outflows. With a continuum resolution of $\sim$0.03$^{\prime\prime}$ ($\sim$5 au, at a distance of 150 pc), we characterize the newly discovered binary system with a separation of 207 au, their circumstellar disks, and a circumbinary disk-like structure. The circumstellar disk radii are 26.9$\pm$0.3 and 22.8$\pm$0.3 au for sources A and B, respectively, and their circumstellar disk dust masses are estimated as 22.5$\pm$1.1 and 12.4$\pm$0.6 M$_{\Earth}$. The circumstellar disks and the circumbinary structure have well aligned position angles and inclinations, indicating formation in a smooth, ordered process such as disk fragmentation. In addition, the circumstellar disks have a near/far-side asymmetry in the continuum emission suggesting that the dust has yet to settle into a thin layer near the midplane. Spectral analysis of CO isotopologues reveals outflows that originate from both of the sources and possibly from the circumbinary disk-like structure. Furthermore, we detect Keplerian rotation in the $^{13}$CO isotopologues toward both circumstellar disks and likely Keplerian rotation in the circumbinary structure; the latter suggests that it is probably a circumbinary disk.","Thu, 21 Mar 2024 05:39:58 UTC (42,542 KB)"
"19","Can ChatGPT Detect DeepFakes? A Study of Using Multimodal Large Language Models for Media Forensics","Shan Jia, Reilin Lyu, Kangran Zhao, Yize Chen, Zhiyuan Yan, Yan Ju, Chuanbo Hu, Xin Li, Baoyuan Wu, Siwei Lyu","Artificial Intelligence (cs.AI)","DeepFakes, which refer to AI-generated media content, have become an increasing concern due to their use as a means for disinformation. Detecting DeepFakes is currently solved with programmed machine learning algorithms. In this work, we investigate the capabilities of multimodal large language models (LLMs) in DeepFake detection. We conducted qualitative and quantitative experiments to demonstrate multimodal LLMs and show that they can expose AI-generated images through careful experimental design and prompt engineering. This is interesting, considering that LLMs are not inherently tailored for media forensic tasks, and the process does not require programming. We discuss the limitations of multimodal LLMs for these tasks and suggest possible improvements.","Thu, 21 Mar 2024 01:57:30 UTC (34,762 KB)"
"20","Real groups, symmetric varieties and Langlands duality","Tsao-Hsien Chen, David Nadler","Representation Theory (math.RT)","Let $G_\mathbb R$ be a connected real reductive group and let $X$ be the corresponding complex symmetric variety under the Cartan bijection. We construct a canonical equivalence between the relative Satake category of $G(\mathcal O)$-equivariant $\mathbb C$-constructible complexes on the loop space of $X$ and the real Satake category of $G_\mathbb R(\mathcal O_\mathbb R)$-equivariant $\mathbb C$-constructible complexes on the real affine Grassmannian. We show that the equivalence is $t$-exact with respect to the natural perverse $t$-structures and is compatible with the fusion products and Hecke actions. We further show that the relative Satake category is equivalent to the category of $\mathbb C$-constructible complexes on the moduli stack of $G_\mathbb R$-bundles on the real projective line $\mathbb P^1(\mathbb R)$ and hence provides a connection between the relative Langlands program and the geometric Langlands program for real groups. We provide numerous applications of the main theorems to real and relative Langlands duality including the formality and commutativity conjectures for the real and relative Satake categories and an identification of the dual groups for $G_\mathbb R$ and $X$.","Wed, 20 Mar 2024 21:51:20 UTC (81 KB)"
"21","depyf: Open the Opaque Box of PyTorch Compiler for Machine Learning Researchers","Kaichao You, Runsheng Bai, Meng Cao, Jianmin Wang, Ion Stoica, Mingsheng Long","Machine Learning (cs.LG)","PyTorch \texttt{2.x} introduces a compiler designed to accelerate deep learning programs. However, for machine learning researchers, adapting to the PyTorch compiler to full potential can be challenging. The compiler operates at the Python bytecode level, making it appear as an opaque box. To address this, we introduce \texttt{depyf}, a tool designed to demystify the inner workings of the PyTorch compiler. \texttt{depyf} decompiles bytecode generated by PyTorch back into equivalent source code, and establishes connections between in-memory code objects and their on-disk source code counterparts. This feature enables users to step through the source code line by line using debuggers, thus enhancing their understanding of the underlying processes. Notably, \texttt{depyf} is non-intrusive and user-friendly, primarily relying on two convenient context managers for its core functionality. The project is \href{this https URL}{ openly available} and is recognized as a \href{this https URL}{PyTorch ecosystem project}.","Thu, 14 Mar 2024 16:17:14 UTC (276 KB)"
"22","Taming Differentiable Logics with Coq Formalisation","Reynald Affeldt, Alessandro Bruni, Ekaterina Komendantskaya, Natalia Ślusarz, Kathrin Stark","Logic in Computer Science (cs.LO)","For performance and verification in machine learning, new methods have recently been proposed that optimise learning systems to satisfy formally expressed logical properties. Among these methods, differentiable logics (DLs) are used to translate propositional or first-order formulae into loss functions deployed for optimisation in machine learning. At the same time, recent attempts to give programming language support for verification of neural networks showed that DLs can be used to compile verification properties to machine-learning backends. This situation is calling for stronger guarantees about the soundness of such compilers, the soundness and compositionality of DLs, and the differentiability and performance of the resulting loss functions. In this paper, we propose an approach to formalise existing DLs using the Mathematical Components library in the Coq proof assistant. Thanks to this formalisation, we are able to give uniform semantics to otherwise disparate DLs, give formal proofs to existing informal arguments, find errors in previous work, and provide formal proofs to missing conjectured properties. This work is meant as a stepping stone for the development of programming language support for verification of machine learning.","Wed, 20 Mar 2024 16:04:57 UTC (248 KB)"
"23","Tensor Quantum Programming","A. Termanova, Ar. Melnikov, E. Mamenchikov, N. Belokonev, S. Dolgov, A. Berezutskii, R. Ellerbrock, C. Mansell, M. Perelshtein","Quantum Physics (quant-ph)","Running quantum algorithms often involves implementing complex quantum circuits with such a large number of multi-qubit gates that the challenge of tackling practical applications appears daunting. To date, no experiments have successfully demonstrated a quantum advantage due to the ease with which the results can be adequately replicated on classical computers through the use of tensor network algorithms. Additionally, it remains unclear even in theory where exactly these advantages are rooted within quantum systems because the logarithmic complexity commonly associated with quantum algorithms is also present in algorithms based on tensor networks. In this article, we propose a novel approach called Tensor Quantum Programming, which leverages tensor networks for hybrid quantum computing. Our key insight is that the primary challenge of algorithms based on tensor networks lies in their high ranks (bond dimensions). Quantum computing offers a potential solution to this challenge, as an ideal quantum computer can represent tensors with arbitrarily high ranks in contrast to classical counterparts, which indicates the way towards quantum advantage. While tensor-based vector-encoding and state-readout are known procedures, the matrix-encoding required for performing matrix-vector multiplications directly on quantum devices remained unsolved. Here, we developed an algorithm that encodes Matrix Product Operators into quantum circuits with a depth that depends linearly on the number of qubits. It demonstrates effectiveness on up to 50 qubits for several matrices frequently encountered in differential equations, optimization problems, and quantum chemistry. We view this work as an initial stride towards the creation of genuinely practical quantum algorithms.","Wed, 20 Mar 2024 10:44:00 UTC (991 KB)"
"24","Regent based parallel meshfree LSKUM solver for heterogenous HPC platforms","Sanath Salil, Nischay Ram Mamidi, Anil Nemili, Elliott Slaughter","Distributed, Parallel, and Cluster Computing (cs.DC)","Regent is an implicitly parallel programming language that allows the development of a single codebase for heterogeneous platforms targeting CPUs and GPUs. This paper presents the development of a parallel meshfree solver in Regent for two-dimensional inviscid compressible flows. The meshfree solver is based on the least squares kinetic upwind method. Example codes are presented to show the difference between the Regent and CUDA-C implementations of the meshfree solver on a GPU node. For CPU parallel computations, details are presented on how the data communication and synchronisation are handled by Regent and Fortran+MPI codes. The Regent solver is verified by applying it to the standard test cases for inviscid flows. Benchmark simulations are performed on coarse to very fine point distributions to assess the solver's performance. The computational efficiency of the Regent solver on an A100 GPU is compared with an equivalent meshfree solver written in CUDA-C. The codes are then profiled to investigate the differences in their performance. The performance of the Regent solver on CPU cores is compared with an equivalent explicitly parallel Fortran meshfree solver based on MPI. Scalability results are shown to offer insights into performance.","Wed, 20 Mar 2024 03:59:10 UTC (6,068 KB)"
"25","C Analyzer : A Static Program Analysis Tool for C Programs","Rajendra Kumar Solanki","Programming Languages (cs.PL)","In our times, when the world is increasingly becoming more dependent on software programs, writing bug-free, correct programs is crucial. Program verification based on formal methods can guarantee this by detecting run-time errors in safety-critical systems to avoid possible adverse impacts on human life and save time and money.
This project work tries to leverage Abstract Interpretation techniques for static analysis of C programs. C Analyzer is a tool developed for static analysis of C programs. This implementation of C Analyzer provides a plug-and-play domain architecture for multiple abstract domains to be used. C Analyzer supports four abstract domains - Interval, Octagon, Polyhedra, and Bit Vector. We use these different domains for required precision in program verification. C Analyzer tool uses LLVM C/C++ compiler frontend Clang API to generate and traverse the Control Flow Graph (CFG) of a given C program. This tool generates invariants in different abstract domains for statements in basic blocks of CFG during CFG traversal. Using these invariants, some properties of a program, such as dividing by zero, modulus zero, arithmetic overflow, etc., can be analyzed. We also use a source-to-source transformation tool, CIL (Common Intermediate language), to transform some C constructs into simpler constructs, such as transforming logical operators, switch statements, and conditional operators into if-else ladders and transforming do-while and for loops into while loops.
Using C Analyzer, C program constructs such as declarations, assignments, binary operations (arithmetic, relational, bitwise shift, etc.), conditions (if-else), loops (while, do while, for loop), nested conditions, and nested loops can be analyzed. Currently, this tool does not support arrays, structures, unions, pointers, or function calls.","Sun, 28 Jan 2024 11:43:16 UTC (2,384 KB)"
"26","Navigating Compiler Errors with AI Assistance -- A Study of GPT Hints in an Introductory Programming Course","Maciej Pankiewicz, Ryan S. Baker","Software Engineering (cs.SE)","We examined the efficacy of AI-assisted learning in an introductory programming course at the university level by using a GPT-4 model to generate personalized hints for compiler errors within a platform for automated assessment of programming assignments. The control group had no access to GPT hints. In the experimental condition GPT hints were provided when a compiler error was detected, for the first half of the problems in each module. For the latter half of the module, hints were disabled. Students highly rated the usefulness of GPT hints. In affect surveys, the experimental group reported significantly higher levels of focus and lower levels of confrustion (confusion and frustration) than the control group. For the six most commonly occurring error types we observed mixed results in terms of performance when access to GPT hints was enabled for the experimental group. However, in the absence of GPT hints, the experimental group's performance surpassed the control group for five out of the six error types.","Tue, 19 Mar 2024 13:54:14 UTC (431 KB)"
