"","Product","Name","Date","IndividualRating","Review"
"12","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","TATAM D.","Reviewed in Australia on 30 November 2023","5.0 out of 5 stars",NA
"13","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","This would be classed as a hair brush for people who do not have sensitive scalp, do not use this on your face. ","Reviewed in Australia on 29 January 2024","4.7 out of 5 stars","        This is a great shampoo and conditioner combination for keeping your Hair and scalp in greatest  condition,It is not harsh on your scalp or skin around your head face, ears and eyes, it is easy to rinse out after washing and is also great for washing not just your Scalp but also around your hairline behind your ears right down to your upper shoulders, not so much your face but it does not hurt at all. a Great all-rounder depending on skin type and this particular bottle is great for most hair and scalp types, so if you are  stuck and have a family that all have close skin and scalp types this will work for everyone if you are on holidays or just want an all-round shampoo and scalp wash that suites the whole family,  alsoTry Head & Shoulders Smooth & Silky Conditioner. It deeply moisturizes hair and scalp and leaves your hair touchably soft. It's also a perfect antidote for itching, redness and dry scalp.  "
"14","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","leena","Reviewed in Australia on 28 February 2023","5.0 out of 5 stars","        Perfect product and does exactly as stated, and also leaves my hair soft and very shiny, highly recommend you use it if you have dandruff or an itchy scalp, it stops the itch.  "
"15","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","This would be classed as a hair brush for people who do not have sensitive scalp, do not use this on your face. ","Reviewed in Australia on 29 January 2024","1.0 out of 5 stars","        Lathers very easily, only need a small amount so it will last for ages.My scalp still gets oily between washes though, guess nothing will fix that.  "
"16","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Hana","Reviewed in Australia on 8 February 2024","5.0 out of 5 stars","        Does what is intended and helped when I had an itchy scalp, which has now resolved.  Should last a while as a lot isn’t needed.  "
"17","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Brian","Reviewed in Australia on 28 December 2023","5.0 out of 5 stars","        Great value  "
"18","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Deb","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars","        I was suprised at the immediate result, my hair was softer, easier to manage and my scalp was less itchy after one use.  The conditioner is one of the best on my hair extensions, kept them moisturised and soft compared to salon quality and priced product  "
"19","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Lionel","Reviewed in Australia on 4 February 2024","4.0 out of 5 stars","        After using this I noticed a significant difference. Within 2 weeks it is safe to say that the dandruff is gone and the oily scalp is under control.  "
"20","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Tammara L","Reviewed in Australia on 13 December 2023","5.0 out of 5 stars","        I love it  "
"21","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","B Jay","Reviewed in Australia on 11 February 2024","5.0 out of 5 stars","        Good anti dandruff shampoo  "
"22","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Vincent","Reviewed in Australia on 8 March 2024","5.0 out of 5 stars","        Bought for my Tween daughter (with dead straight hair) who was suffering from an itchy and dry scalp... Worked perfectly and resolved her scalp issues within 2 weeks of use. After a few months, she has stopped using it for now, as it is a heavier weight Shampoo. Now I use it, as my hair is curly and dry and it's been awesome. I hate shampoo that strips my hair, this is great for holding the moisture.  "
"23","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","Abyanuddin Salam","Reviewed in Australia on 12 January 2024","5.0 out of 5 stars",NA
"24","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)","TATAM D.","Reviewed in Australia on 30 November 2023","5.0 out of 5 stars",NA
"25","Head & Shoulders Clean Balanced Anti Dandruff Shampoo 660ml (Pack of 1)",NA,NA,"5.0 out of 5 stars",NA
