"","X","Title","Author","Subject","Abstract","Meta"
"41",41,"teaching machines to code: smart contract translation with llms","rabimba karanjai, lei xu, weidong shi","software engineering (cs.se)","the advent of large language models (llms) has marked a significant milestone in the realm of artificial intelligence, with their capabilities often matching or surpassing human expertise in various domains. among these achievements, their adeptness in translation tasks stands out, closely mimicking the intricate and preliminary processes undertaken by human translators to ensure the fidelity and quality of the translated content. despite the advancements in utilizing llms for translating programming code across different languages, the domain of smart contract translation, particularly into languages not previously encountered by the llm, remains largely unexplored. in our research, we present a pioneering approach, solmover, which harnesses the synergy of two distinct llms within a unified framework. this framework is designed to grasp coding principles and apply this understanding to the translation of code into an unfamiliar language. our study delves into the capacity of llms to mimic human learning processes, offering an in-depth evaluation of our methodology for converting smart contracts written in solidity to move, a language with limited resources. the framework employs one llm to decipher coding conventions for the new language, creating a blueprint for the second llm, which, lacking planning abilities, possesses coding expertise. the empirical evidence from our experiments suggests that solmover substantially enhances performance compared to gpt-.-turbo-, and achieves superior results over competitors such as palm and mixtral-xb-instruct. additionally, our analysis highlights the efficacy of our bug mitigation strategy in elevating code quality across all models, even outside the solmover framework.",2024-03-13
"42",42,"corais: lightweight real-time scheduler for multi-edge cooperative computing","yujiao hu, qingmin jia, jinchao chen, yuan yao, yan pan, renchao xie, f.richard yu","distributed, parallel, and cluster computing (cs.dc)","multi-edge cooperative computing that combines constrained resources of multiple edges into a powerful resource pool has the potential to deliver great benefits, such as a tremendous computing power, improved response time, more diversified services. however, the mass heterogeneous resources composition and lack of scheduling strategies make the modeling and cooperating of multi-edge computing system particularly complicated. this paper first proposes a system-level state evaluation model to shield the complex hardware configurations and redefine the different service capabilities at heterogeneous edges. secondly, an integer linear programming model is designed to cater for optimally dispatching the distributed arriving requests. finally, a learning-based lightweight real-time scheduler, corais, is proposed. corais embeds the real-time states of multi-edge system and requests information, and combines the embeddings with a policy network to schedule the requests, so that the response time of all requests can be minimized. evaluation results verify that corais can make a high-quality scheduling decision in real time, and can be generalized to other multi-edge computing system, regardless of system scales. characteristic validation also demonstrates that corais successfully learns to balance loads, perceive real-time state and recognize heterogeneity while scheduling.",2024-02-04
"43",43,"leveraging constraint programming in a deep learning approach for dynamically solving the flexible job-shop scheduling problem","imanol echeverria, maialen murua, roberto santana","artificial intelligence (cs.ai)","recent advancements in the flexible job-shop scheduling problem (fjssp) are primarily based on deep reinforcement learning (drl) due to its ability to generate high-quality, real-time solutions. however, drl approaches often fail to fully harness the strengths of existing techniques such as exact methods or constraint programming (cp), which can excel at finding optimal or near-optimal solutions for smaller instances. this paper aims to integrate cp within a deep learning (dl) based methodology, leveraging the benefits of both. in this paper, we introduce a method that involves training a dl model using optimal solutions generated by cp, ensuring the model learns from high-quality data, thereby eliminating the need for the extensive exploration typical in drl and enhancing overall performance. further, we integrate cp into our dl framework to jointly construct solutions, utilizing dl for the initial complex stages and transitioning to cp for optimal resolution as the problem is simplified. our hybrid approach has been extensively tested on three public fjssp benchmarks, demonstrating superior performance over five state-of-the-art drl approaches and a widely-used cp solver. additionally, with the objective of exploring the application to other combinatorial optimization problems, promising preliminary results are presented on applying our hybrid approach to the traveling salesman problem, combining an exact method with a well-known drl method.",2024-03-14
"44",44,"quantum dynamic programming","jeongrak son, marek gluza, ryuji takagi, nelly h. y. ng","quantum physics (quant-ph)","we introduce a quantum extension of dynamic programming, a fundamental computational method for efficiently solving recursive problems using memory. our innovation lies in showing how to coherently generate unitaries of recursion steps using memorized intermediate quantum states. we find that quantum dynamic programming yields an exponential reduction in circuit depth for a large class of fixed-point quantum recursions, including a known recursive variant of the grover's search. additionally, we apply quantum dynamic programming to a recently proposed double-bracket quantum algorithm for diagonalization to obtain a new protocol for obliviously preparing a quantum state in its schmidt basis, providing a potential pathway for revealing entanglement structures of unknown quantum states.",2024-03-14
"45",45,"formalizing date arithmetic and statically detecting ambiguities for the law","raphaël monat, aymeric fromherz, denis merigoux","programming languages (cs.pl)","legal expert systems routinely rely on date computations to determine the eligibility of a citizen to social benefits or whether an application has been filed on time. unfortunately, date arithmetic exhibits many corner cases, which are handled differently from one library to the other, making faithfully transcribing the law into code error-prone, and possibly leading to heavy financial and legal consequences for users. in this work, we aim to provide a solid foundation for date arithmetic working on days, months and years. we first present a novel, formal semantics for date computations, and formally establish several semantic properties through a mechanization in the f proof assistant. building upon this semantics, we then propose a static analysis by abstract interpretation to automatically detect ambiguities in date computations. we finally integrate our approach in the catala language, a recent domain-specific language for formalizing computational law, and use it to analyze the catala implementation of the french housing benefits, leading to the discovery of several date-related ambiguities.",2024-03-13
"46",46,"understanding and evaluating developer behaviour in programming tasks","martin schröer, rainer koschke","software engineering (cs.se)","to evaluate how developers perform differently in solving programming tasks, i.e., which actions and behaviours are more beneficial to them than others and if there are any specific strategies and behaviours that may indicate good versus poor understanding of the task and program given to them, we used the mimesis plug-in to record developers' interactions with the ide. in a series of three studies we investigated the specific behaviour of developers solving a specific programming task. we focused on which source code files they visited, how they related pieces of code and knowledge to others and when and how successful they performed code edits. to cope with the variety of behaviours due to interpersonal differences such as different level of knowledge, development style or problem solving stratiegies, we used an abstraction of the observed behaviour, which enables for a better comparison between different individual attributes such as skill, speed and used stratiegies and also facilitates later automatic evaluation of behaviours, i.e. by using a software to react to.",2024-03-13
"47",47,"user-centric beam selection and precoding design for coordinated multiple-satellite systems","vu nguyen ha, duy h. n. nguyen, juan c.-m. duncan, jorge l. gonzalez-rios, juan a. vasquez, geoffrey eappen, luis m. garces-socarras, rakesh palisetty, symeon chatzinotas, bjorn ottersten","signal processing (eess.sp)","this paper introduces a joint optimization framework for user-centric beam selection and linear precoding (lp) design in a coordinated multiple-satellite (comsat) system, employing a digital-fourier-transform-based (dft) beamforming (bf) technique. regarding serving users at their target sinrs and minimizing the total transmit power, the scheme aims to efficiently determine satellites for users to associate with and activate the best cluster of beams together with optimizing lp for every satellite-to-user transmission. these technical objectives are first framed as a complex mixed-integer programming (mip) challenge. to tackle this, we reformulate it into a joint cluster association and lp design problem. then, by theoretically analyzing the duality relationship between downlink and uplink transmissions, we develop an efficient iterative method to identify the optimal solution. additionally, a simpler duality approach for rapid beam selection and lp design is presented for comparison purposes. simulation results underscore the effectiveness of our proposed schemes across various settings.",2024-03-13
"48",48,"mastering text, code and math simultaneously via fusing highly specialized language models","ning ding, yulin chen, ganqu cui, xingtai lv, weilin zhao, ruobing xie, bowen zhou, zhiyuan liu, maosong sun","computation and language (cs.cl)","underlying data distributions of natural language, programming code, and mathematical symbols vary vastly, presenting a complex challenge for large language models (llms) that strive to achieve high performance across all three domains simultaneously. achieving a very high level of proficiency for an llm within a specific domain often requires extensive training with relevant corpora, which is typically accompanied by a sacrifice in performance in other domains. in this paper, we propose to fuse models that are already highly-specialized directly. the proposed fusing framework, ultrafuser, consists of three distinct specialists that are already sufficiently trained on language, coding, and mathematics. a token-level gating mechanism is introduced to blend the specialists' outputs. a two-stage training strategy accompanied by balanced sampling is designed to ensure stability. to effectively train the fused model, we further construct a high-quality supervised instruction tuning dataset, ultrachat , which includes text, code, and mathematical content. this dataset comprises approximately , instructions and covers a wide range of topics in each domain. experiments show that our model could simultaneously achieve mastery of the three crucial domains.",2024-03-13
"49",49,"bayesflo: bayesian fault localization of complex software systems","yi ji, simon mak, ryan lekivetz, joseph morgan","software engineering (cs.se)","software testing is essential for the reliable development of complex software systems. a key step in software testing is fault localization, which uses test data to pinpoint failure-inducing combinations for further diagnosis. existing fault localization methods, however, are largely deterministic, and thus do not provide a principled approach for assessing probabilistic risk of potential root causes, or for integrating domain and/or structural knowledge from test engineers. to address this, we propose a novel bayesian fault localization framework called bayesflo, which leverages a flexible bayesian model on potential root cause combinations. a key feature of bayesflo is its integration of the principles of combination hierarchy and heredity, which capture the structured nature of failure-inducing combinations. a critical challenge, however, is the sheer number of potential root cause scenarios to consider, which renders the computation of posterior root cause probabilities infeasible even for small software systems. we thus develop new algorithms for efficient computation of such probabilities, leveraging recent tools from integer programming and graph representations. we then demonstrate the effectiveness of bayesflo over state-of-the-art fault localization methods, in a suite of numerical experiments and in two motivating case studies on the jmp xgboost interface.",2024-03-12
"50",50,"improving memory dependence prediction with static analysis","luke panayi, rohan gandhi, jim whittaker, vassilios chouliaras, martin berger, paul kelly","programming languages (cs.pl)","this paper explores the potential of communicating information gained by static analysis from compilers to out-of-order (ooo) machines, focusing on the memory dependence predictor (mdp). the mdp enables loads to issue without all in-flight store addresses being known, with minimal memory order violations. we use llvm to find loads with no dependencies and label them via their opcode. these labelled loads skip making lookups into the mdp, improving prediction accuracy by reducing false dependencies. we communicate this information in a minimally intrusive way, i.e.~without introducing additional hardware costs or instruction bandwidth, providing these improvements without any additional overhead in the cpu. we find that in select cases in spec, a significant number of load instructions can skip interacting with the mdp and lead to a performance gain. these results point to greater possibilities for static analysis as a source of near zero cost performance gains in future cpu designs.",2024-03-12
"51",51,"spline trajectory tracking and obstacle avoidance for mobile agents via convex optimization","akua dickson, christos g. cassandras, roberto tron","systems and control (eess.sy)","we propose an output feedback control-based motion planning technique for agents to enable them to converge to a specified polynomial trajectory while imposing a set of safety constraints on our controller to avoid collisions within the free configuration space (polygonal environment). to achieve this, we ) decompose our polygonal environment into different overlapping cells ) write out our polynomial trajectories as the output of a reference dynamical system with given initial conditions ) formulate convergence and safety constraints as linear matrix inequalities (lmis) on our controller using control lyapunov functions (clfs) and control barrier functions (cbfs) and ) solve a semi-definite programming (sdp) problem with convergence and safety constraints imposed to synthesize a controller for each convex cell. extensive simulations are included to test our motion planning method under different initial conditions and different reference trajectories. the synthesized controller is robust to changes in initial conditions and is always safe relative to the boundaries of the polygonal environment.",2024-03-25
"52",52,"bi-objective optimization in role mining","jason crampton, eduard eiben, gregory gutin, daniel karapetyan, diptapriyo majumdar","cryptography and security (cs.cr)","role mining is a technique used to derive a role-based authorization policy from an existing policy. given a set of users $u$, a set of permissions $p$ and a user-permission authorization relation $\mahtit{upa}\subseteq u\times p$, a role mining algorithm seeks to compute a set of roles $r$, a user-role authorization relation $\mathit{ua}\subseteq u\times r$ and a permission-role authorization relation $\mathit{pa}\subseteq r\times p$, such that the composition of $\mathit{ua}$ and $\mathit{pa}$ is close (in some appropriate sense) to $\mathit{upa}$.
in this paper, we first introduce the generalized noise role mining problem (gnrm) -- a generalization of the minnoise role mining problem -- which we believe has considerable practical relevance. extending work of fomin et al., we show that gnrm is fixed parameter tractable, with parameter $r + k$, where $r$ is the number of roles in the solution and $k$ is the number of discrepancies between $\mathit{upa}$ and the relation defined by the composition of $\mathit{ua}$ and $\mathit{pa}$. we further introduce a bi-objective optimization variant of gnrm, where we wish to minimize both $r$ and $k$ subject to upper bounds $r\le \bar{r}$ and $k\le \bar{k}$, where $\bar{r}$ and $\bar{k}$ are constants. we show that the pareto front of this bi-objective optimization problem (bo-gnrm) can be computed in fixed-parameter tractable time with parameter $\bar{r}+\bar{k}$.
we then report the results of our experimental work using the integer programming solver gurobi to solve instances of bo-gnrm. our key findings are that (a) we obtained strong support that gurobi's performance is fixed-parameter tractable, (b) our results suggest that our techniques may be useful for role mining in practice, based on our experiments in the context of three well-known real-world authorization policies.",2024-03-25
"53",53,"power-aware sparse reflect beamforming in active ris-aided interference channels","ruizhe long, hu zhou, ying-chang liang","information theory (cs.it)","active reconfigurable intelligent surface (ris) has attracted significant attention in wireless communications, due to its reflecting elements (res) capable of reflecting incident signals with not only phase shifts but also amplitude amplifications. in this paper, we are interested in active ris-aided interference channels in which $k$ user pairs share the same time and frequency resources with the aid of active ris. thanks to the promising amplitude amplification capability, activating a moderate number of res, rather than all of them, is sufficient for the active ris to mitigate cross-channel interferences. motivated by this, we propose a power-aware sparse reflect beamforming design for the active ris-aided interference channels, which allows the active ris to flexibly adjust the number of activated res for the sake of reducing hardware and power costs. specifically, we establish the power consumption model in which only those activated res consume the biasing and operation power that supports the amplitude amplification, yielding an $\ell_$-norm power consumption function. based on the proposed model, we investigate a sum-rate maximization problem and an active ris power minimization problem by carefully designing the sparse reflect beamforming vector. to solve these problems, we first replace the nonconvex $\ell_$-norm function with an iterative reweighted $\ell_$-norm function. then, fractional programming is used to solve the sum-rate maximization, while semidefinite programming together with the difference-of-convex algorithm (dca) is used to solve the active ris power minimization. numerical results show that the proposed sparse designs can notably increase the sum rate of user pairs and decrease the power consumption of active ris in interference channels.",2024-03-25
"54",54,"a monte carlo simulation of the broad band x-ray emission of the accreting millisecond x-ray pulsar maxi j-","yuan you (), shuang-nan zhang (), zhaosheng li (), mingyu ge () (() key laboratory of particle astrophysics, institute of high energy physics, chinese academy of sciences, beijing, china, () key laboratory of stars and interstellar medium, xiangtan university, xiangtan university, xiangtan, hunan, china)","high energy astrophysical phenomena (astro-ph.he)","maxi j- is an accreting millisecond x-ray pulsar (amxp) discovered in . according to the insight-hxmt data, the pulsations of this source extend all the way to over  kev, and its pulse profiles change from a single peak in low-energy range to double peaks in high-energy range. in this work, we simulate its energy spectra and pulse profiles with a compton scattering monte carlo program. the simulation results suggest that the low energy x-ray source on the neutron star surface should be pencil-beamed radiations from the magnetic poles, and there should be a boundary layer in a hollow cylinder shape between the accretion disc and the neutron star surface: the up-scattering of the polar radiations in the boundary layer leads to the double peak structure of the high-energy pulse profile. under this boundary layer geometry, we suggest that the rarity of amxps can be caused by the smearing of the boundary layer. to estimate the mass m and radius r of accretion-powered millisecond pulsars whose surface radiations are badly polluted by the accretion disk and boundary layer, the impact of compton scattering in the boundary layer on the radiation should be removed before employing the x-ray pulse profile modeling method.",2024-03-25
"55",55,"percentile optimization in wireless networks- part i: power control for max-min-rate to sum-rate maximization (and everything in between)","ahmad ali khan, raviraj adve","information theory (cs.it)","improving throughput for cell-edge users through coordinated resource allocation has been a long-standing driver of research in wireless cellular networks. while a variety of wireless resource management problems focus on sum utility, max-min utility and proportional fair utility, these formulations do not explicitly cater to cell-edge users and can, in fact, be disadvantageous to them. in this two-part paper series, we introduce a new class of optimization problems called percentile programs, which allow us to explicitly formulate problems that target lower-percentile throughput optimization for cell-edge users. part i focuses on the class of least-percentile throughput maximization through power control. this class subsumes the well-known max-min and max-sum-rate optimization problems as special cases. apart from these two extremes, we show that least-percentile rate programs are non-convex, non-smooth and strongly np-hard in general for multiuser interference networks, making optimization extremely challenging. we propose cyclic maximization algorithms that transform the original problems into equivalent block-concave forms, thereby enabling guaranteed convergence to stationary points. comparisons with state-of-the-art optimization algorithms such as successive convex approximation and sequential quadratic programming reveal that our proposed algorithms achieve superior performance while computing solutions orders of magnitude faster.",2024-03-25
"56",56,"safe reinforcement learning for constrained markov decision processes with stochastic stopping time","abhijit mazumdar, rafal wisniewski, manuela l. bujorianu","machine learning (cs.lg)","in this paper, we present an online reinforcement learning algorithm for constrained markov decision processes with a safety constraint. despite the necessary attention of the scientific community, considering stochastic stopping time, the problem of learning optimal policy without violating safety constraints during the learning phase is yet to be addressed. to this end, we propose an algorithm based on linear programming that does not require a process model. we show that the learned policy is safe with high confidence. we also propose a method to compute a safe baseline policy, which is central in developing algorithms that do not violate the safety constraints. finally, we provide simulation results to show the efficacy of the proposed algorithm. further, we demonstrate that efficient exploration can be achieved by defining a subset of the state-space called proxy set.",2024-03-23
"57",57,"operational experience and r&d results using the google cloud for high energy physics in the atlas experiment","fernando barreiro megino, kaushik de, johannes elmsheuser, alexei klimentov, mario lassnig, miles euell, nikolai hartmann, tadashi maeno, verena martinez outschoorn, jay ajitbhai sandesara, dustin sell","high energy physics - experiment (hep-ex)","the atlas experiment at cern relies on a worldwide distributed computing grid infrastructure to support its physics program at the large hadron collider. atlas has integrated cloud computing resources to complement its grid infrastructure and conducted an r&d program on google cloud platform. these initiatives leverage key features of commercial cloud providers: lightweight configuration and operation, elasticity and availability of diverse infrastructure. this paper examines the seamless integration of cloud computing services as a conventional grid site within the atlas workflow management and data management systems, while also offering new setups for interactive, parallel analysis. it underscores pivotal results that enhance the on-site computing model and outlines several r&d projects that have benefited from large-scale, elastic resource provisioning models. furthermore, this study discusses the impact of cloud-enabled r\&d projects in three domains: accelerators and ai/ml, arm cpus and columnar data analysis techniques.",2024-03-23
"58",58,"energy efficient design of active star-ris-aided swipt systems","sajad faramarzi, hosein zarini, sepideh javadi, mohammad robat mili, rui zhang, george k. karagiannidis, naofal al-dhahir","information theory (cs.it)","in this paper, we consider the downlink transmission of a multi-antenna base station (bs) supported by an active simultaneously transmitting and reconfigurable intelligent surface (star-ris) to serve single-antenna users via simultaneous wireless information and power transfer (swipt). in this context, we formulate an energy efficiency maximisation problem that jointly optimises the gain, element selection and phase shift matrices of the active star-ris, the transmit beamforming of the bs and the power splitting ratio of the users. with respect to the highly coupled and non-convex form of this problem, an alternating optimisation solution approach is proposed, using tools from convex optimisation and reinforcement learning. specifically, semi-definite relaxation (sdr), difference of concave functions (dc), and fractional programming techniques are employed to transform the non-convex optimisation problem into a convex form for optimising the bs beamforming vector and the power splitting ratio of the swipt. then, by integrating meta-learning with the modified deep deterministic policy gradient (ddpg) and soft actor-critical (sac) methods, a combinatorial reinforcement learning network is developed to optimise the element selection, gain and phase shift matrices of the active star-ris. our simulations show the effectiveness of the proposed resource allocation scheme. furthermore, our proposed active star-ris-based swipt system outperforms its passive counterpart by % on average.",2024-03-23
"59",59,"codeshell technical report","rui xie, zhengran zeng, zhuohao yu, chang gao, shikun zhang, wei ye","software engineering (cs.se)","code large language models mark a pivotal breakthrough in artificial intelligence. they are specifically crafted to understand and generate programming languages, significantly boosting the efficiency of coding development workflows. in this technical report, we present codeshell-base, a seven billion-parameter foundation model with k context length, showcasing exceptional proficiency in code comprehension. by incorporating grouped-query attention and rotary positional embedding into gpt-, codeshell-base integrates the structural merits of starcoder and codellama and forms its unique architectural design. we then carefully built a comprehensive data pre-processing process, including similar data deduplication, perplexity-based data filtering, and model-based data filtering. through this process, we have curated  billion high-quality pre-training data from github. benefiting from the high-quality data, codeshell-base outperforms codellama in humaneval after training on just  billion tokens ( epochs). we have conducted extensive experiments across multiple language datasets, including python, java, and c++, and the results indicate that our model possesses robust foundational capabilities in code comprehension and generation.",2024-03-23
"60",60,"ac: algebraic computation checker for circuit constraints in zkps","hao chen, minyu chen, ruibang liu, guoqiang li","software engineering (cs.se)","zkp systems have surged attention and held a fundamental role in contemporary cryptography. zk-snark protocols dominate the zkp usage, often implemented through arithmetic circuit programming paradigm. however, underconstrained or overconstrained circuits may lead to bugs. underconstrained circuits refer to circuits that lack the necessary constraints, resulting in unexpected solutions in the circuit and causing the verifier to accept a bogus witness. overconstrained circuits refer to circuits that are constrained excessively, resulting in the circuit lacking necessary solutions and causing the verifier to accept no witness, rendering the circuit meaningless. this paper introduces a novel approach for pinpointing two distinct types of bugs in zkp circuits. the method involves encoding the arithmetic circuit constraints to polynomial equation systems and solving polynomial equation systems over a finite field by algebraic computation. the classification of verification results is refined, greatly enhancing the expressive power of the system. we proposed a tool, ac, to represent the implementation of this method. experiments demonstrate that ac represents a substantial % increase in the checked ratio compared to prior work. within a solvable range, the checking time of ac has also exhibited noticeable improvement, demonstrating a magnitude increase compared to previous efforts.",2024-03-23
"61",61,"(towards a) statistical probabilistic lazy lambda calculus","radha jagadeesan","logic in computer science (cs.lo)","we study the desiderata on a model for statistical probabilistic programming languages. we argue that they can be met by a combination of traditional tools, namely open bisimulation and probabilistic simulation.",2024-03-22
"62",62,"programmers prefer individually assigned tasks vs. shared responsibility","adela krylova, roman makarov, sergei pasynkov, yegor bugayenko","software engineering (cs.se)","in traditional management, tasks are typically assigned to individuals, with each worker taking full responsibility for the success or failure of a task. in contrast, modern agile, lean, and extreme programming practices advocate for shared responsibility, where an entire group is accountable for the outcome of a project or task. despite numerous studies in other domains, the preferences of programmers have not been thoroughly analyzed. to address this gap, we conducted a survey featuring seven situational questions and collected the opinions of  software development practitioners. our findings reveal that programmers prefer tasks to be assigned to them on an individual basis and appreciate taking personal responsibility for failures, as well as receiving individual rewards for successes. understanding these preferences is crucial for project managers aiming to optimize team dynamics and ensure the successful completion of software projects.",2024-03-22
"63",63,"real-time safety index adaptation for parameter-varying systems via determinant gradient ascend","rui chen, weiye zhao, ruixuan liu, weiyang zhang, changliu liu","systems and control (eess.sy)","safety index synthesis (sis) is critical for deriving safe control laws. recent works propose to synthesize a safety index (si) via nonlinear programming and derive a safe control law such that the system ) achieves forward invariant (fi) with some safe set and ) guarantees finite time convergence (ftc) to that safe set. however, real-world system dynamics can vary during run-time, making the control law infeasible and invalidating the initial si. since the full sis nonlinear programming is computationally expensive, it is infeasible to re-synthesize the si each time the dynamics are perturbed. to address that, this paper proposes an efficient approach to adapting the si to varying system dynamics and maintaining the feasibility of the safe control law. the proposed method leverages determinant gradient ascend and derives a closed-form update to safety index parameters, enabling real-time adaptation performance. a numerical study validates the effectiveness of our approach.",2024-03-22
"64",64,"fat api bindings of c++ objects into scripting languages","russell k. standish","programming languages (cs.pl)","a fat api exposes nearly all of a c++ object's public attributes and methods to a consuming environment, such as a scripting language, or web client. this can be contrasted with a conventional, or thin api, where the api is defined up front, and the c++ object provides the implementation, most of which is private to the c++ layer. obviously, reflection is required to expose c++ objects to a consuming layer like this -- this paper explores using the classdesc system to implement reflection of c++ objects into a javascript/typescript environment via a restservice, and also via a node.js api module.",2024-03-22
"65",65,"a survey of neural code intelligence: paradigms, advances and beyond","qiushi sun, zhirui chen, fangzhi xu, kanzhi cheng, chang ma, zhangyue yin, jianing wang, chengcheng han, renyu zhu, shuai yuan, qipeng guo, xipeng qiu, pengcheng yin, xiaoli li, fei yuan, lingpeng kong, xiang li, zhiyong wu","software engineering (cs.se)","neural code intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. bridging the gap between natural language and programming language, this domain has drawn significant attention from researchers in both research communities over the past few years. this survey presents a systematic and chronological review of the advancements in code intelligence, encompassing over  representative models and their variants, more than  categories of tasks, and an extensive coverage of over  related works. we follow the historical progression to trace the paradigm shifts across different research phases (e.g., from modeling code with recurrent neural networks to the era of large language models). concurrently, we highlight the major technical transitions in models, tasks, and evaluations spanning through different stages. for applications, we also observe a co-evolving shift. it spans from initial endeavors to tackling specific scenarios, through exploring a diverse array of tasks during its rapid expansion, to currently focusing on tackling increasingly complex and varied real-world challenges. building on our examination of the developmental trajectories, we further investigate the emerging synergies between code intelligence and broader machine intelligence, uncovering new cross-domain opportunities and illustrating the substantial influence of code intelligence across various domains. finally, we delve into both the opportunities and challenges associated with this field, alongside elucidating our insights on the most promising research directions. an ongoing, dynamically updated project and resources associated with this survey have been released at this https url.",2024-03-21
"66",66,"personalized programming guidance based on deep programming learning style capturing","yingfan liu, renyu zhu, ming gao","computers and society (cs.cy)","with the rapid development of big data and ai technology, programming is in high demand and has become an essential skill for students. meanwhile, researchers also focus on boosting the online judging system's guidance ability to reduce students' dropout rates. previous studies mainly targeted at enhancing learner engagement on online platforms by providing personalized recommendations. however, two significant challenges still need to be addressed in programming: c) how to recognize complex programming behaviors; c) how to capture intrinsic learning patterns that align with the actual learning process. to fill these gaps, in this paper, we propose a novel model called programming exercise recommender with learning style (pers), which simulates learners' intricate programming behaviors. specifically, since programming is an iterative and trial-and-error process, we first introduce a positional encoding and a differentiating module to capture the changes of consecutive code submissions (which addresses c). to better profile programming behaviors, we extend the felder-silverman learning style model, a classical pedagogical theory, to perceive intrinsic programming patterns. based on this, we align three latent vectors to record and update programming ability, processing style, and understanding style, respectively (which addresses c). we perform extensive experiments on two real-world datasets to verify the rationality of modeling programming learning styles and the effectiveness of pers for personalized programming guidance.",2024-02-20
"67",67,"designing robust linear output feedback controller based on clf-cbf framework via linear~programming(lp-clf-cbf)","mahroo bahreinian, mehdi kermanshah, roberto tron","systems and control (eess.sy)","we consider the problem of designing output feedback controllers that use measurements from a set of landmarks to navigate through a cell-decomposable environment using duality, control lyapunov and barrier functions (clf, cbf), and linear programming. we propose two objectives for navigating in an environment, one to traverse the environment by making loops and one by converging to a stabilization point while smoothing the transition between consecutive cells. we test our algorithms in a simulation environment, evaluating the robustness of the approach to practical conditions, such as bearing-only measurements, and measurements acquired with a camera with a limited field of view.",2024-03-21
"68",68,"early planet formation in embedded disks (edisk) xiii: aligned disks with non-settled dust around the newly resolved class  protobinary r cra iras ","frankie j. encalada, leslie w. looney, shigehisa takakuwa, john j. tobin, nagayoshi ohashi, jes k. jørgensen, zhi-yun li, yuri aikawa, yusuke aso, patrick m. koch, woojin kwon, shih-ping lai, chang won lee, zhe-yu daniel lin, alejandro santamarıa-miranda, itziar de gregorio-monsalvo, nguyen thi phuong, adele plunkett, jinshi sai (insa choi), rajeeb sharma, hsi-wei yen, ilseung han","solar and stellar astrophysics (astro-ph.sr)","young protostellar binary systems, with expected ages less than $\sim$$^$ years, are little modified since birth, providing key clues to binary formation and evolution. we present a first look at the young, class  binary protostellar system r cra iras  from the early planet formation in embedded disks (edisk) alma large program, which observed the system in the . mm continuum emission, $^{}$co (-), $^{}$co (-), c$^{}$o (-), so ($_$-$_$), and nine other molecular lines that trace disk, envelope, shocks, and outflows. with a continuum resolution of $\sim$.$^{\prime\prime}$ ($\sim$ au, at a distance of  pc), we characterize the newly discovered binary system with a separation of  au, their circumstellar disks, and a circumbinary disk-like structure. the circumstellar disk radii are .$\pm$. and .$\pm$. au for sources a and b, respectively, and their circumstellar disk dust masses are estimated as .$\pm$. and .$\pm$. m$_{\earth}$. the circumstellar disks and the circumbinary structure have well aligned position angles and inclinations, indicating formation in a smooth, ordered process such as disk fragmentation. in addition, the circumstellar disks have a near/far-side asymmetry in the continuum emission suggesting that the dust has yet to settle into a thin layer near the midplane. spectral analysis of co isotopologues reveals outflows that originate from both of the sources and possibly from the circumbinary disk-like structure. furthermore, we detect keplerian rotation in the $^{}$co isotopologues toward both circumstellar disks and likely keplerian rotation in the circumbinary structure; the latter suggests that it is probably a circumbinary disk.",2024-03-21
"69",69,"can chatgpt detect deepfakes? a study of using multimodal large language models for media forensics","shan jia, reilin lyu, kangran zhao, yize chen, zhiyuan yan, yan ju, chuanbo hu, xin li, baoyuan wu, siwei lyu","artificial intelligence (cs.ai)","deepfakes, which refer to ai-generated media content, have become an increasing concern due to their use as a means for disinformation. detecting deepfakes is currently solved with programmed machine learning algorithms. in this work, we investigate the capabilities of multimodal large language models (llms) in deepfake detection. we conducted qualitative and quantitative experiments to demonstrate multimodal llms and show that they can expose ai-generated images through careful experimental design and prompt engineering. this is interesting, considering that llms are not inherently tailored for media forensic tasks, and the process does not require programming. we discuss the limitations of multimodal llms for these tasks and suggest possible improvements.",2024-03-21
"70",70,"real groups, symmetric varieties and langlands duality","tsao-hsien chen, david nadler","representation theory (math.rt)","let $g_\mathbb r$ be a connected real reductive group and let $x$ be the corresponding complex symmetric variety under the cartan bijection. we construct a canonical equivalence between the relative satake category of $g(\mathcal o)$-equivariant $\mathbb c$-constructible complexes on the loop space of $x$ and the real satake category of $g_\mathbb r(\mathcal o_\mathbb r)$-equivariant $\mathbb c$-constructible complexes on the real affine grassmannian. we show that the equivalence is $t$-exact with respect to the natural perverse $t$-structures and is compatible with the fusion products and hecke actions. we further show that the relative satake category is equivalent to the category of $\mathbb c$-constructible complexes on the moduli stack of $g_\mathbb r$-bundles on the real projective line $\mathbb p^(\mathbb r)$ and hence provides a connection between the relative langlands program and the geometric langlands program for real groups. we provide numerous applications of the main theorems to real and relative langlands duality including the formality and commutativity conjectures for the real and relative satake categories and an identification of the dual groups for $g_\mathbb r$ and $x$.",2024-03-20
